"sample_id","subject","group_arm","timepoint","group_id","ME"
"S03_T1","HR_S03","HR","T1",1,-3.03143945627639
"S10_T1","HR_S10","HR","T1",1,-3.1427222722936
"S16_T1","HR_S16","HR","T1",1,7.02718075471473
"S22_T1","HR_S22","HR","T1",1,-4.52557250139612
"S24_T1","HR_S24","HR","T1",1,-0.878497514769021
"S27_T1","HR_S27","HR","T1",1,-2.97678361374327
"S28_T1","HR_S28","HR","T1",1,-1.14635986305092
"S04_T1","LR_S04","LR","T1",1,0.294978802612471
"S05_T1","LR_S05","LR","T1",1,-3.88872134478428
"S06_T1","LR_S06","LR","T1",1,-0.850986253693215
"S12_T1","LR_S12","LR","T1",1,-1.13408612489879
"S14_T1","LR_S14","LR","T1",1,-0.451968294184278
"S17_T1","LR_S17","LR","T1",1,-4.2968925902021
"S21_T1","LR_S21","LR","T1",1,6.33172516620643
"S30_T1","LR_S30","LR","T1",1,-4.11626055281804
"S03_T2","HR_S03","HR","T2",1,-2.74560786249079
"S10_T2","HR_S10","HR","T2",1,-1.56449324285535
"S16_T2","HR_S16","HR","T2",1,-4.0365911087944
"S22_T2","HR_S22","HR","T2",1,-2.4133402648379
"S24_T2","HR_S24","HR","T2",1,2.71129224849266
"S27_T2","HR_S27","HR","T2",1,-0.442139148512499
"S29_T2","HR_S29","HR","T2",1,-0.808966713602211
"S04_T2","LR_S04","LR","T2",1,-5.05032089355617
"S05_T2","LR_S05","LR","T2",1,-4.06486356825945
"S06_T2","LR_S06","LR","T2",1,-1.01859312156343
"S12_T2","LR_S12","LR","T2",1,-4.4827294703473
"S14_T2","LR_S14","LR","T2",1,1.99315281876638
"S17_T2","LR_S17","LR","T2",1,-5.13225703200664
"S21_T2","LR_S21","LR","T2",1,-3.33649528452402
"S30_T2","LR_S30","LR","T2",1,-2.8951996877595
"S03_T3","HR_S03","HR","T3",1,-0.0340130812770921
"S10_T3","HR_S10","HR","T3",1,4.95501292816213
"S16_T3","HR_S16","HR","T3",1,0.330950942811633
"S22_T3","HR_S22","HR","T3",1,7.33260100011231
"S24_T3","HR_S24","HR","T3",1,-3.44091770286671
"S27_T3","HR_S27","HR","T3",1,-2.11390611235736
"S29_T3","HR_S29","HR","T3",1,-1.8576569247393
"S04_T3","LR_S04","LR","T3",1,4.82532269261137
"S05_T3","LR_S05","LR","T3",1,0.40146251454154
"S06_T3","LR_S06","LR","T3",1,0.826927792152647
"S12_T3","LR_S12","LR","T3",1,5.80702496620341
"S14_T3","LR_S14","LR","T3",1,11.3799977978486
"S17_T3","LR_S17","LR","T3",1,5.21346549696028
"S21_T3","LR_S21","LR","T3",1,3.02349368228345
"S30_T3","LR_S30","LR","T3",1,13.4237919979803
"S03_T1","HR_S03","HR","T1",2,-3.77218099911967
"S10_T1","HR_S10","HR","T1",2,-0.409048557914028
"S16_T1","HR_S16","HR","T1",2,0.139275536523852
"S22_T1","HR_S22","HR","T1",2,-6.44153026183209
"S24_T1","HR_S24","HR","T1",2,-0.239023178748096
"S27_T1","HR_S27","HR","T1",2,-0.844847132723498
"S28_T1","HR_S28","HR","T1",2,1.76546068277859
"S04_T1","LR_S04","LR","T1",2,1.23770177740519
"S05_T1","LR_S05","LR","T1",2,0.65776500372913
"S06_T1","LR_S06","LR","T1",2,1.38882555663325
"S12_T1","LR_S12","LR","T1",2,-0.289599311741811
"S14_T1","LR_S14","LR","T1",2,0.994080957689293
"S17_T1","LR_S17","LR","T1",2,-2.91576667022426
"S21_T1","LR_S21","LR","T1",2,-1.29058099906908
"S30_T1","LR_S30","LR","T1",2,-0.535882403324573
"S03_T2","HR_S03","HR","T2",2,2.11170959814051
"S10_T2","HR_S10","HR","T2",2,1.22200514985925
"S16_T2","HR_S16","HR","T2",2,1.33033193409114
"S22_T2","HR_S22","HR","T2",2,1.46662332370941
"S24_T2","HR_S24","HR","T2",2,0.302222145841183
"S27_T2","HR_S27","HR","T2",2,1.40334919341368
"S29_T2","HR_S29","HR","T2",2,0.91443737195349
"S04_T2","LR_S04","LR","T2",2,1.14542806641356
"S05_T2","LR_S05","LR","T2",2,-1.00608092416392
"S06_T2","LR_S06","LR","T2",2,-0.0828865233348148
"S12_T2","LR_S12","LR","T2",2,-0.189710223018372
"S14_T2","LR_S14","LR","T2",2,0.16752755769806
"S17_T2","LR_S17","LR","T2",2,-4.20822571014538
"S21_T2","LR_S21","LR","T2",2,1.45320604241204
"S30_T2","LR_S30","LR","T2",2,1.2870187261272
"S03_T3","HR_S03","HR","T3",2,0.528643595171221
"S10_T3","HR_S10","HR","T3",2,0.55852375323074
"S16_T3","HR_S16","HR","T3",2,0.940733370829484
"S22_T3","HR_S22","HR","T3",2,-0.958619120400983
"S24_T3","HR_S24","HR","T3",2,-3.26641778400574
"S27_T3","HR_S27","HR","T3",2,1.19800360024847
